Home,Division,Shift date,Hour,Actual_Number,Day
Dishoom Covent Garden,Expo,2022-07-14,9,2,Thursday
Dishoom Covent Garden,Expo,2022-07-14,10,2,Thursday
Dishoom Covent Garden,Expo,2022-07-14,11,2,Thursday
Dishoom Covent Garden,Expo,2022-07-14,12,2,Thursday
Dishoom Covent Garden,Expo,2022-07-14,13,2,Thursday
Dishoom Covent Garden,Expo,2022-07-14,14,2,Thursday
Dishoom Covent Garden,Expo,2022-07-14,15,2,Thursday
Dishoom Covent Garden,Expo,2022-07-14,16,2,Thursday
Dishoom Covent Garden,Expo,2022-07-14,17,1,Thursday
Dishoom Covent Garden,Expo,2022-07-14,18,1,Thursday
Dishoom Covent Garden,Expo,2022-07-14,19,1,Thursday
Dishoom Covent Garden,Expo,2022-07-14,20,1,Thursday
Dishoom Covent Garden,Expo,2022-07-14,21,1,Thursday
Dishoom Covent Garden,Expo,2022-07-14,22,1,Thursday
Dishoom Covent Garden,Expo,2022-07-14,23,1,Thursday
Dishoom Covent Garden,Expo,2022-07-14,24,1,Thursday
Dishoom Covent Garden,Expo,2022-07-15,8,1,Friday
Dishoom Covent Garden,Expo,2022-07-15,9,1,Friday
Dishoom Covent Garden,Expo,2022-07-15,10,1,Friday
Dishoom Covent Garden,Expo,2022-07-15,11,1,Friday
Dishoom Covent Garden,Expo,2022-07-15,12,1,Friday
Dishoom Covent Garden,Expo,2022-07-15,13,1,Friday
Dishoom Covent Garden,Expo,2022-07-15,14,1,Friday
Dishoom Covent Garden,Expo,2022-07-15,15,1,Friday
Dishoom Covent Garden,Expo,2022-07-15,16,2,Friday
Dishoom Covent Garden,Expo,2022-07-15,17,2,Friday
Dishoom Covent Garden,Expo,2022-07-15,18,2,Friday
Dishoom Covent Garden,Expo,2022-07-15,19,2,Friday
Dishoom Covent Garden,Expo,2022-07-15,20,2,Friday
Dishoom Covent Garden,Expo,2022-07-15,21,2,Friday
Dishoom Covent Garden,Expo,2022-07-15,22,2,Friday
Dishoom Covent Garden,Expo,2022-07-15,23,2,Friday
Dishoom Covent Garden,Expo,2022-07-15,24,1,Friday
Dishoom Covent Garden,Expo,2022-07-17,8,1,Sunday
Dishoom Covent Garden,Expo,2022-07-17,9,2,Sunday
Dishoom Covent Garden,Expo,2022-07-17,10,2,Sunday
Dishoom Covent Garden,Expo,2022-07-17,11,2,Sunday
Dishoom Covent Garden,Expo,2022-07-17,12,2,Sunday
Dishoom Covent Garden,Expo,2022-07-17,13,2,Sunday
Dishoom Covent Garden,Expo,2022-07-17,14,2,Sunday
Dishoom Covent Garden,Expo,2022-07-17,15,2,Sunday
Dishoom Covent Garden,Expo,2022-07-17,16,2,Sunday
Dishoom Covent Garden,Expo,2022-07-17,17,2,Sunday
Dishoom Covent Garden,Expo,2022-07-17,18,2,Sunday
Dishoom Covent Garden,Expo,2022-07-17,19,2,Sunday
Dishoom Covent Garden,Expo,2022-07-17,20,2,Sunday
Dishoom Covent Garden,Expo,2022-07-17,21,1,Sunday
Dishoom Covent Garden,Expo,2022-07-17,22,1,Sunday
Dishoom Covent Garden,Expo,2022-07-17,23,1,Sunday
Dishoom Covent Garden,Expo,2022-07-18,9,1,Monday
Dishoom Covent Garden,Expo,2022-07-18,10,1,Monday
Dishoom Covent Garden,Expo,2022-07-18,11,1,Monday
Dishoom Covent Garden,Expo,2022-07-18,12,1,Monday
Dishoom Covent Garden,Expo,2022-07-18,13,1,Monday
Dishoom Covent Garden,Expo,2022-07-18,14,1,Monday
Dishoom Covent Garden,Expo,2022-07-18,15,1,Monday
Dishoom Covent Garden,Expo,2022-07-18,16,1,Monday
Dishoom Covent Garden,Expo,2022-07-18,17,2,Monday
Dishoom Covent Garden,Expo,2022-07-18,18,2,Monday
Dishoom Covent Garden,Expo,2022-07-18,19,2,Monday
Dishoom Covent Garden,Expo,2022-07-18,20,1,Monday
Dishoom Covent Garden,Expo,2022-07-18,21,1,Monday
Dishoom Covent Garden,Expo,2022-07-18,22,1,Monday
Dishoom Covent Garden,Expo,2022-07-18,23,1,Monday
Dishoom Covent Garden,Expo,2022-07-18,24,1,Monday
Dishoom Covent Garden,Expo,2022-07-19,7,1,Tuesday
Dishoom Covent Garden,Expo,2022-07-19,8,1,Tuesday
Dishoom Covent Garden,Expo,2022-07-19,9,1,Tuesday
Dishoom Covent Garden,Expo,2022-07-19,10,2,Tuesday
Dishoom Covent Garden,Expo,2022-07-19,11,2,Tuesday
Dishoom Covent Garden,Expo,2022-07-19,12,2,Tuesday
Dishoom Covent Garden,Expo,2022-07-19,13,2,Tuesday
Dishoom Covent Garden,Expo,2022-07-19,14,2,Tuesday
Dishoom Covent Garden,Expo,2022-07-19,15,3,Tuesday
Dishoom Covent Garden,Expo,2022-07-19,16,3,Tuesday
Dishoom Covent Garden,Expo,2022-07-19,17,2,Tuesday
Dishoom Covent Garden,Expo,2022-07-19,18,2,Tuesday
Dishoom Covent Garden,Expo,2022-07-19,19,2,Tuesday
Dishoom Covent Garden,Expo,2022-07-19,20,2,Tuesday
Dishoom Covent Garden,Expo,2022-07-19,21,2,Tuesday
Dishoom Covent Garden,Expo,2022-07-19,22,2,Tuesday
Dishoom Covent Garden,Expo,2022-07-19,23,1,Tuesday
Dishoom Covent Garden,Expo,2022-07-20,7,1,Wednesday
Dishoom Covent Garden,Expo,2022-07-20,8,2,Wednesday
Dishoom Covent Garden,Expo,2022-07-20,9,2,Wednesday
Dishoom Covent Garden,Expo,2022-07-20,10,2,Wednesday
Dishoom Covent Garden,Expo,2022-07-20,11,2,Wednesday
Dishoom Covent Garden,Expo,2022-07-20,12,2,Wednesday
Dishoom Covent Garden,Expo,2022-07-20,13,2,Wednesday
Dishoom Covent Garden,Expo,2022-07-20,14,2,Wednesday
Dishoom Covent Garden,Expo,2022-07-20,15,2,Wednesday
Dishoom Covent Garden,Expo,2022-07-20,16,2,Wednesday
Dishoom Covent Garden,Expo,2022-07-20,17,2,Wednesday
Dishoom Covent Garden,Expo,2022-07-20,18,2,Wednesday
Dishoom Covent Garden,Expo,2022-07-20,19,2,Wednesday
Dishoom Covent Garden,Expo,2022-07-20,20,2,Wednesday
Dishoom Covent Garden,Expo,2022-07-20,21,2,Wednesday
Dishoom Covent Garden,Expo,2022-07-20,22,2,Wednesday
Dishoom Covent Garden,Expo,2022-07-20,23,1,Wednesday
Dishoom Covent Garden,Expo,2022-07-21,7,1,Thursday
Dishoom Covent Garden,Expo,2022-07-21,8,2,Thursday
Dishoom Covent Garden,Expo,2022-07-21,9,2,Thursday
Dishoom Covent Garden,Expo,2022-07-21,10,2,Thursday
Dishoom Covent Garden,Expo,2022-07-21,11,2,Thursday
Dishoom Covent Garden,Expo,2022-07-21,12,2,Thursday
Dishoom Covent Garden,Expo,2022-07-21,13,2,Thursday
Dishoom Covent Garden,Expo,2022-07-21,14,2,Thursday
Dishoom Covent Garden,Expo,2022-07-21,15,2,Thursday
Dishoom Covent Garden,Expo,2022-07-21,16,2,Thursday
Dishoom Covent Garden,Expo,2022-07-21,17,2,Thursday
Dishoom Covent Garden,Expo,2022-07-21,18,2,Thursday
Dishoom Covent Garden,Expo,2022-07-21,19,2,Thursday
Dishoom Covent Garden,Expo,2022-07-21,20,2,Thursday
Dishoom Covent Garden,Expo,2022-07-21,21,2,Thursday
Dishoom Covent Garden,Expo,2022-07-21,22,2,Thursday
Dishoom Covent Garden,Expo,2022-07-21,23,1,Thursday
Dishoom Covent Garden,Expo,2022-07-22,8,1,Friday
Dishoom Covent Garden,Expo,2022-07-22,9,2,Friday
Dishoom Covent Garden,Expo,2022-07-22,10,2,Friday
Dishoom Covent Garden,Expo,2022-07-22,11,2,Friday
Dishoom Covent Garden,Expo,2022-07-22,12,2,Friday
Dishoom Covent Garden,Expo,2022-07-22,13,2,Friday
Dishoom Covent Garden,Expo,2022-07-22,14,2,Friday
Dishoom Covent Garden,Expo,2022-07-22,15,2,Friday
Dishoom Covent Garden,Expo,2022-07-22,16,1,Friday
Dishoom Covent Garden,Expo,2022-07-22,17,1,Friday
Dishoom Covent Garden,Expo,2022-07-22,18,1,Friday
Dishoom Covent Garden,Expo,2022-07-22,19,1,Friday
Dishoom Covent Garden,Expo,2022-07-22,20,1,Friday
Dishoom Covent Garden,Expo,2022-07-22,21,1,Friday
Dishoom Covent Garden,Expo,2022-07-22,22,1,Friday
Dishoom Covent Garden,Expo,2022-07-22,23,1,Friday
Dishoom Covent Garden,Expo,2022-07-22,24,1,Friday
Dishoom Covent Garden,Expo,2022-07-25,6,1,Monday
Dishoom Covent Garden,Expo,2022-07-25,7,1,Monday
Dishoom Covent Garden,Expo,2022-07-25,8,2,Monday
Dishoom Covent Garden,Expo,2022-07-25,9,2,Monday
Dishoom Covent Garden,Expo,2022-07-25,10,2,Monday
Dishoom Covent Garden,Expo,2022-07-25,11,2,Monday
Dishoom Covent Garden,Expo,2022-07-25,12,2,Monday
Dishoom Covent Garden,Expo,2022-07-25,13,2,Monday
Dishoom Covent Garden,Expo,2022-07-25,14,2,Monday
Dishoom Covent Garden,Expo,2022-07-25,15,2,Monday
Dishoom Covent Garden,Expo,2022-07-25,16,2,Monday
Dishoom Covent Garden,Expo,2022-07-25,17,2,Monday
Dishoom Covent Garden,Expo,2022-07-25,18,2,Monday
Dishoom Covent Garden,Expo,2022-07-25,19,2,Monday
Dishoom Covent Garden,Expo,2022-07-25,20,2,Monday
Dishoom Covent Garden,Expo,2022-07-25,21,2,Monday
Dishoom Covent Garden,Expo,2022-07-25,22,2,Monday
Dishoom Covent Garden,Expo,2022-07-25,23,1,Monday
Dishoom Covent Garden,Expo,2022-07-26,7,1,Tuesday
Dishoom Covent Garden,Expo,2022-07-26,8,2,Tuesday
Dishoom Covent Garden,Expo,2022-07-26,9,2,Tuesday
Dishoom Covent Garden,Expo,2022-07-26,10,2,Tuesday
Dishoom Covent Garden,Expo,2022-07-26,11,2,Tuesday
Dishoom Covent Garden,Expo,2022-07-26,12,2,Tuesday
Dishoom Covent Garden,Expo,2022-07-26,13,2,Tuesday
Dishoom Covent Garden,Expo,2022-07-26,14,2,Tuesday
Dishoom Covent Garden,Expo,2022-07-26,15,2,Tuesday
Dishoom Covent Garden,Expo,2022-07-26,16,2,Tuesday
Dishoom Covent Garden,Expo,2022-07-26,17,2,Tuesday
Dishoom Covent Garden,Expo,2022-07-26,18,2,Tuesday
Dishoom Covent Garden,Expo,2022-07-26,19,2,Tuesday
Dishoom Covent Garden,Expo,2022-07-26,20,2,Tuesday
Dishoom Covent Garden,Expo,2022-07-26,21,2,Tuesday
Dishoom Covent Garden,Expo,2022-07-26,22,2,Tuesday
Dishoom Covent Garden,Expo,2022-07-26,23,1,Tuesday
Dishoom Covent Garden,Expo,2022-07-29,7,1,Friday
Dishoom Covent Garden,Expo,2022-07-29,8,2,Friday
Dishoom Covent Garden,Expo,2022-07-29,9,2,Friday
Dishoom Covent Garden,Expo,2022-07-29,10,2,Friday
Dishoom Covent Garden,Expo,2022-07-29,11,2,Friday
Dishoom Covent Garden,Expo,2022-07-29,12,2,Friday
Dishoom Covent Garden,Expo,2022-07-29,13,2,Friday
Dishoom Covent Garden,Expo,2022-07-29,14,2,Friday
Dishoom Covent Garden,Expo,2022-07-29,15,2,Friday
Dishoom Covent Garden,Expo,2022-07-29,16,2,Friday
Dishoom Covent Garden,Expo,2022-07-29,17,2,Friday
Dishoom Covent Garden,Expo,2022-07-29,18,2,Friday
Dishoom Covent Garden,Expo,2022-07-29,19,2,Friday
Dishoom Covent Garden,Expo,2022-07-29,20,2,Friday
Dishoom Covent Garden,Expo,2022-07-29,21,2,Friday
Dishoom Covent Garden,Expo,2022-07-29,22,2,Friday
Dishoom Covent Garden,Expo,2022-07-29,23,1,Friday
Dishoom Covent Garden,Expo,2022-07-29,24,1,Friday
Dishoom Covent Garden,Expo,2022-07-30,8,1,Saturday
Dishoom Covent Garden,Expo,2022-07-30,9,2,Saturday
Dishoom Covent Garden,Expo,2022-07-30,10,2,Saturday
Dishoom Covent Garden,Expo,2022-07-30,11,2,Saturday
Dishoom Covent Garden,Expo,2022-07-30,12,2,Saturday
Dishoom Covent Garden,Expo,2022-07-30,13,2,Saturday
Dishoom Covent Garden,Expo,2022-07-30,14,2,Saturday
Dishoom Covent Garden,Expo,2022-07-30,15,2,Saturday
Dishoom Covent Garden,Expo,2022-07-30,16,2,Saturday
Dishoom Covent Garden,Expo,2022-07-30,17,2,Saturday
Dishoom Covent Garden,Expo,2022-07-30,18,2,Saturday
Dishoom Covent Garden,Expo,2022-07-30,19,2,Saturday
Dishoom Covent Garden,Expo,2022-07-30,20,2,Saturday
Dishoom Covent Garden,Expo,2022-07-30,21,2,Saturday
Dishoom Covent Garden,Expo,2022-07-30,22,2,Saturday
Dishoom Covent Garden,Expo,2022-07-30,23,2,Saturday
Dishoom Covent Garden,Expo,2022-07-30,24,1,Saturday
Dishoom Covent Garden,Expo,2022-07-31,8,1,Sunday
Dishoom Covent Garden,Expo,2022-07-31,9,3,Sunday
Dishoom Covent Garden,Expo,2022-07-31,10,3,Sunday
Dishoom Covent Garden,Expo,2022-07-31,11,3,Sunday
Dishoom Covent Garden,Expo,2022-07-31,12,3,Sunday
Dishoom Covent Garden,Expo,2022-07-31,13,3,Sunday
Dishoom Covent Garden,Expo,2022-07-31,14,3,Sunday
Dishoom Covent Garden,Expo,2022-07-31,15,3,Sunday
Dishoom Covent Garden,Expo,2022-07-31,16,3,Sunday
Dishoom Covent Garden,Expo,2022-07-31,17,2,Sunday
Dishoom Covent Garden,Expo,2022-07-31,18,2,Sunday
Dishoom Covent Garden,Expo,2022-07-31,19,2,Sunday
Dishoom Covent Garden,Expo,2022-07-31,20,2,Sunday
Dishoom Covent Garden,Expo,2022-07-31,21,2,Sunday
Dishoom Covent Garden,Expo,2022-07-31,22,2,Sunday
Dishoom Covent Garden,Expo,2022-07-31,23,1,Sunday
Dishoom Covent Garden,Expo,2022-07-03,8,1,Sunday
Dishoom Covent Garden,Expo,2022-07-03,9,1,Sunday
Dishoom Covent Garden,Expo,2022-07-03,10,2,Sunday
Dishoom Covent Garden,Expo,2022-07-03,11,2,Sunday
Dishoom Covent Garden,Expo,2022-07-03,12,2,Sunday
Dishoom Covent Garden,Expo,2022-07-03,13,2,Sunday
Dishoom Covent Garden,Expo,2022-07-03,14,2,Sunday
Dishoom Covent Garden,Expo,2022-07-03,15,2,Sunday
Dishoom Covent Garden,Expo,2022-07-03,16,2,Sunday
Dishoom Covent Garden,Expo,2022-07-03,17,2,Sunday
Dishoom Covent Garden,Expo,2022-07-03,18,2,Sunday
Dishoom Covent Garden,Expo,2022-07-03,19,2,Sunday
Dishoom Covent Garden,Expo,2022-07-03,20,2,Sunday
Dishoom Covent Garden,Expo,2022-07-03,21,2,Sunday
Dishoom Covent Garden,Expo,2022-07-03,22,2,Sunday
Dishoom Covent Garden,Expo,2022-07-03,23,1,Sunday
Dishoom Covent Garden,Expo,2022-07-07,7,1,Thursday
Dishoom Covent Garden,Expo,2022-07-07,8,1,Thursday
Dishoom Covent Garden,Expo,2022-07-07,9,1,Thursday
Dishoom Covent Garden,Expo,2022-07-07,10,1,Thursday
Dishoom Covent Garden,Expo,2022-07-07,11,2,Thursday
Dishoom Covent Garden,Expo,2022-07-07,12,2,Thursday
Dishoom Covent Garden,Expo,2022-07-07,13,2,Thursday
Dishoom Covent Garden,Expo,2022-07-07,14,2,Thursday
Dishoom Covent Garden,Expo,2022-07-07,15,2,Thursday
Dishoom Covent Garden,Expo,2022-07-07,16,1,Thursday
Dishoom Covent Garden,Expo,2022-07-07,17,1,Thursday
Dishoom Covent Garden,Expo,2022-07-07,18,1,Thursday
Dishoom Covent Garden,Expo,2022-07-07,19,1,Thursday
Dishoom Covent Garden,Expo,2022-07-07,20,1,Thursday
Dishoom Covent Garden,Expo,2022-07-07,21,1,Thursday
Dishoom Covent Garden,Expo,2022-07-07,22,1,Thursday
Dishoom Covent Garden,Expo,2022-07-10,8,1,Sunday
Dishoom Covent Garden,Expo,2022-07-10,9,2,Sunday
Dishoom Covent Garden,Expo,2022-07-10,10,2,Sunday
Dishoom Covent Garden,Expo,2022-07-10,11,2,Sunday
Dishoom Covent Garden,Expo,2022-07-10,12,2,Sunday
Dishoom Covent Garden,Expo,2022-07-10,13,2,Sunday
Dishoom Covent Garden,Expo,2022-07-10,14,2,Sunday
Dishoom Covent Garden,Expo,2022-07-10,15,2,Sunday
Dishoom Covent Garden,Expo,2022-07-10,16,1,Sunday
Dishoom Covent Garden,Expo,2022-07-10,17,1,Sunday
Dishoom Covent Garden,Expo,2022-07-10,18,1,Sunday
Dishoom Covent Garden,Expo,2022-07-10,19,1,Sunday
Dishoom Covent Garden,Expo,2022-07-10,20,1,Sunday
Dishoom Covent Garden,Expo,2022-07-10,21,1,Sunday
Dishoom Covent Garden,Expo,2022-07-10,22,1,Sunday
Dishoom Covent Garden,Expo,2022-07-10,23,1,Sunday
Dishoom Covent Garden,Expo,2022-07-11,6,1,Monday
Dishoom Covent Garden,Expo,2022-07-11,7,1,Monday
Dishoom Covent Garden,Expo,2022-07-11,8,1,Monday
Dishoom Covent Garden,Expo,2022-07-11,9,1,Monday
Dishoom Covent Garden,Expo,2022-07-11,10,1,Monday
Dishoom Covent Garden,Expo,2022-07-11,11,1,Monday
Dishoom Covent Garden,Expo,2022-07-11,12,2,Monday
Dishoom Covent Garden,Expo,2022-07-11,13,2,Monday
Dishoom Covent Garden,Expo,2022-07-11,14,2,Monday
Dishoom Covent Garden,Expo,2022-07-11,15,2,Monday
Dishoom Covent Garden,Expo,2022-07-11,16,2,Monday
Dishoom Covent Garden,Expo,2022-07-11,17,2,Monday
Dishoom Covent Garden,Expo,2022-07-11,18,2,Monday
Dishoom Covent Garden,Expo,2022-07-11,19,2,Monday
Dishoom Covent Garden,Expo,2022-07-11,20,2,Monday
Dishoom Covent Garden,Expo,2022-07-11,21,2,Monday
Dishoom Covent Garden,Expo,2022-07-11,22,2,Monday
