Site Code,Date (DDMMYYYY),Department,Hour,Actual Hours '22,Budget Rota Hours,Labour Model Hours,Month,Day
D1,2022-08-04 00:00:00,Barback,21,1.0,2.0,3.0,8,Thursday
D1,2022-08-04 00:00:00,Barback,22,2.0,2.0,2.0,8,Thursday
D1,2022-08-04 00:00:00,Barback,23,2.0,2.0,2.0,8,Thursday
D1,2022-08-04 00:00:00,Barback,24,2.0,2.0,2.0,8,Thursday
D1,2022-08-05 00:00:00,Barback,7,1.2,1.2,1.2,8,Friday
D1,2022-08-05 00:00:00,Barback,8,2.0,2.0,2.0,8,Friday
D1,2022-08-05 00:00:00,Barback,9,2.0,2.0,2.0,8,Friday
D1,2022-08-05 00:00:00,Barback,10,2.0,2.0,3.0,8,Friday
D1,2022-08-05 00:00:00,Barback,11,1.0,2.0,3.0,8,Friday
D1,2022-08-05 00:00:00,Barback,12,2.0,2.0,3.0,8,Friday
D1,2022-08-05 00:00:00,Barback,13,2.0,2.0,4.0,8,Friday
D1,2022-08-05 00:00:00,Barback,14,2.0,2.0,4.0,8,Friday
D1,2022-08-05 00:00:00,Barback,15,2.0,2.0,3.0,8,Friday
D1,2022-08-05 00:00:00,Barback,16,1.0,3.0,3.0,8,Friday
D1,2022-08-05 00:00:00,Barback,17,1.0,3.0,3.0,8,Friday
D1,2022-08-05 00:00:00,Barback,18,1.0,3.0,3.0,8,Friday
D1,2022-08-05 00:00:00,Barback,19,1.0,3.0,3.0,8,Friday
D1,2022-08-05 00:00:00,Barback,20,1.0,3.0,3.0,8,Friday
D1,2022-08-05 00:00:00,Barback,21,1.0,3.0,3.0,8,Friday
D1,2022-08-05 00:00:00,Barback,22,1.0,3.0,3.0,8,Friday
D1,2022-08-05 00:00:00,Barback,23,1.0,3.0,2.0,8,Friday
D1,2022-08-05 00:00:00,Barback,24,2.0,2.0,2.0,8,Friday
D1,2022-08-05 00:00:00,Barback,25,1.0,1.0,1.0,8,Friday
D1,2022-08-06 00:00:00,Barback,8,1.5,1.5,1.5,8,Saturday
D1,2022-08-06 00:00:00,Barback,9,2.0,3.0,1.0,8,Saturday
D1,2022-08-06 00:00:00,Barback,10,2.0,3.0,2.0,8,Saturday
D1,2022-08-06 00:00:00,Barback,11,2.0,3.0,2.0,8,Saturday
D1,2022-08-06 00:00:00,Barback,12,2.0,3.0,2.0,8,Saturday
D1,2022-08-06 00:00:00,Barback,13,2.0,3.0,3.0,8,Saturday
D1,2022-08-06 00:00:00,Barback,14,2.0,3.0,3.0,8,Saturday
D1,2022-08-06 00:00:00,Barback,15,2.0,3.0,3.0,8,Saturday
D1,2022-08-06 00:00:00,Barback,16,3.0,3.0,3.0,8,Saturday
D1,2022-08-06 00:00:00,Barback,17,3.0,3.0,3.0,8,Saturday
D1,2022-08-06 00:00:00,Barback,18,3.0,3.0,3.0,8,Saturday
D1,2022-08-06 00:00:00,Barback,19,3.0,3.0,3.0,8,Saturday
D1,2022-08-06 00:00:00,Barback,20,3.0,3.0,3.0,8,Saturday
D1,2022-08-06 00:00:00,Barback,21,2.0,3.0,3.0,8,Saturday
D1,2022-08-06 00:00:00,Barback,22,3.0,3.0,3.0,8,Saturday
D1,2022-08-06 00:00:00,Barback,23,3.0,3.0,2.0,8,Saturday
D1,2022-08-06 00:00:00,Barback,24,2.6,2.6,2.6,8,Saturday
D1,2022-08-06 00:00:00,Barback,25,1.0,1.0,1.0,8,Saturday
D1,2022-08-07 00:00:00,Barback,8,1.2,1.2,1.2,8,Sunday
D1,2022-08-07 00:00:00,Barback,9,2.0,3.0,1.0,8,Sunday
D1,2022-08-07 00:00:00,Barback,10,2.0,3.0,2.0,8,Sunday
D1,2022-08-07 00:00:00,Barback,11,2.0,3.0,2.0,8,Sunday
D1,2022-08-07 00:00:00,Barback,12,2.0,3.0,2.0,8,Sunday
D1,2022-08-07 00:00:00,Barback,13,2.0,3.0,3.0,8,Sunday
D1,2022-08-07 00:00:00,Barback,14,2.0,3.0,3.0,8,Sunday
D1,2022-08-07 00:00:00,Barback,15,2.0,3.0,3.0,8,Sunday
D1,2022-08-07 00:00:00,Barback,16,2.0,2.0,3.0,8,Sunday
D1,2022-08-07 00:00:00,Barback,17,2.0,2.0,3.0,8,Sunday
D1,2022-08-07 00:00:00,Barback,18,2.0,2.0,3.0,8,Sunday
D1,2022-08-07 00:00:00,Barback,19,2.0,2.0,3.0,8,Sunday
D1,2022-08-07 00:00:00,Barback,20,2.0,2.0,3.0,8,Sunday
D1,2022-08-07 00:00:00,Barback,21,1.0,2.0,3.0,8,Sunday
D1,2022-08-07 00:00:00,Barback,22,2.0,2.0,2.0,8,Sunday
D1,2022-08-07 00:00:00,Barback,23,2.0,2.0,1.0,8,Sunday
D1,2022-08-07 00:00:00,Barback,24,1.0,1.0,1.0,8,Sunday
D1,2022-08-08 00:00:00,Barback,7,1.0,1.0,1.0,8,Monday
D1,2022-08-08 00:00:00,Barback,8,1.0,1.0,1.0,8,Monday
D1,2022-08-08 00:00:00,Barback,9,1.0,1.0,1.0,8,Monday
D1,2022-08-08 00:00:00,Barback,10,1.0,1.0,1.0,8,Monday
D1,2022-08-08 00:00:00,Barback,11,1.0,1.0,2.0,8,Monday
D1,2022-08-08 00:00:00,Barback,12,1.0,1.0,1.0,8,Monday
D1,2022-08-08 00:00:00,Barback,13,1.0,1.0,2.0,8,Monday
D1,2022-08-08 00:00:00,Barback,14,1.0,1.0,2.0,8,Monday
D1,2022-08-08 00:00:00,Barback,15,1.0,1.0,2.0,8,Monday
D1,2022-08-08 00:00:00,Barback,16,2.0,2.0,2.0,8,Monday
D1,2022-08-08 00:00:00,Barback,17,2.0,2.0,3.0,8,Monday
D1,2022-08-08 00:00:00,Barback,18,2.0,2.0,3.0,8,Monday
D1,2022-08-08 00:00:00,Barback,19,2.0,2.0,3.0,8,Monday
D1,2022-08-08 00:00:00,Barback,20,2.0,2.0,3.0,8,Monday
D1,2022-08-08 00:00:00,Barback,21,1.0,2.0,3.0,8,Monday
D1,2022-08-08 00:00:00,Barback,22,2.0,2.0,2.0,8,Monday
D1,2022-08-08 00:00:00,Barback,23,2.0,2.0,1.0,8,Monday
D1,2022-08-08 00:00:00,Barback,24,1.3333333333333333,1.3333333333333333,1.3333333333333333,8,Monday
D1,2022-08-08 00:00:00,Barback,25,1.0,1.0,1.0,8,Monday
D1,2022-08-09 00:00:00,Barback,7,1.25,1.25,1.25,8,Tuesday
D1,2022-08-09 00:00:00,Barback,8,2.0,2.0,2.0,8,Tuesday
D1,2022-08-09 00:00:00,Barback,9,2.0,2.0,2.0,8,Tuesday
D1,2022-08-09 00:00:00,Barback,10,2.0,2.0,2.0,8,Tuesday
D1,2022-08-09 00:00:00,Barback,11,2.0,2.0,2.0,8,Tuesday
D1,2022-08-09 00:00:00,Barback,12,2.0,2.0,3.0,8,Tuesday
D1,2022-08-09 00:00:00,Barback,13,2.0,2.0,4.0,8,Tuesday
D1,2022-08-09 00:00:00,Barback,14,2.0,2.0,4.0,8,Tuesday
D1,2022-08-09 00:00:00,Barback,15,2.0,2.0,3.0,8,Tuesday
D1,2022-08-09 00:00:00,Barback,16,2.0,2.0,2.0,8,Tuesday
D1,2022-08-09 00:00:00,Barback,17,2.0,2.0,2.0,8,Tuesday
D1,2022-08-09 00:00:00,Barback,18,2.0,2.0,3.0,8,Tuesday
D1,2022-08-09 00:00:00,Barback,19,2.0,2.0,3.0,8,Tuesday
D1,2022-08-09 00:00:00,Barback,20,2.0,2.0,3.0,8,Tuesday
D1,2022-08-09 00:00:00,Barback,21,1.0,2.0,3.0,8,Tuesday
D1,2022-08-09 00:00:00,Barback,22,2.0,2.0,2.0,8,Tuesday
D1,2022-08-09 00:00:00,Barback,23,2.0,2.0,2.0,8,Tuesday
D1,2022-08-09 00:00:00,Barback,24,1.5,1.5,1.5,8,Tuesday
D1,2022-08-10 00:00:00,Barback,7,2.0,2.0,2.0,8,Wednesday
D1,2022-08-10 00:00:00,Barback,8,1.0,1.0,1.0,8,Wednesday
D1,2022-08-10 00:00:00,Barback,9,1.0,1.0,1.0,8,Wednesday
D1,2022-08-10 00:00:00,Barback,10,2.0,1.0,1.0,8,Wednesday
D1,2022-08-10 00:00:00,Barback,11,1.0,1.0,2.0,8,Wednesday
D1,2022-08-10 00:00:00,Barback,12,1.0,1.0,2.0,8,Wednesday
D1,2022-08-10 00:00:00,Barback,13,1.0,1.0,3.0,8,Wednesday
D1,2022-08-10 00:00:00,Barback,14,1.0,1.0,3.0,8,Wednesday
D1,2022-08-10 00:00:00,Barback,15,1.0,1.0,2.0,8,Wednesday
D1,2022-08-10 00:00:00,Barback,16,2.0,2.0,2.0,8,Wednesday
D1,2022-08-10 00:00:00,Barback,17,2.0,2.0,3.0,8,Wednesday
D1,2022-08-10 00:00:00,Barback,18,2.0,2.0,3.0,8,Wednesday
D1,2022-08-10 00:00:00,Barback,19,2.0,2.0,3.0,8,Wednesday
D1,2022-08-10 00:00:00,Barback,20,2.0,2.0,3.0,8,Wednesday
D1,2022-08-10 00:00:00,Barback,21,2.0,2.0,3.0,8,Wednesday
D1,2022-08-10 00:00:00,Barback,22,2.0,2.0,2.0,8,Wednesday
D1,2022-08-10 00:00:00,Barback,23,2.0,2.0,1.0,8,Wednesday
D1,2022-08-10 00:00:00,Barback,24,1.0,1.0,1.0,8,Wednesday
D1,2022-08-11 00:00:00,Barback,7,1.0,1.0,1.0,8,Thursday
D1,2022-08-11 00:00:00,Barback,8,1.0,1.0,1.0,8,Thursday
D1,2022-08-11 00:00:00,Barback,9,1.0,1.0,2.0,8,Thursday
D1,2022-08-11 00:00:00,Barback,10,1.0,1.0,2.0,8,Thursday
D1,2022-08-11 00:00:00,Barback,11,1.0,1.0,1.0,8,Thursday
D1,2022-08-11 00:00:00,Barback,12,1.0,1.0,2.0,8,Thursday
D1,2022-08-11 00:00:00,Barback,13,1.0,1.0,2.0,8,Thursday
D1,2022-08-11 00:00:00,Barback,14,1.0,1.0,2.0,8,Thursday
D1,2022-08-11 00:00:00,Barback,15,1.0,1.0,2.0,8,Thursday
D1,2022-08-11 00:00:00,Barback,16,3.0,2.0,2.0,8,Thursday
D1,2022-08-11 00:00:00,Barback,17,3.0,2.0,3.0,8,Thursday
D1,2022-08-11 00:00:00,Barback,18,2.0,2.0,3.0,8,Thursday
D1,2022-08-11 00:00:00,Barback,19,2.0,2.0,3.0,8,Thursday
D1,2022-08-11 00:00:00,Barback,20,2.0,2.0,3.0,8,Thursday
D1,2022-08-11 00:00:00,Barback,21,2.0,2.0,3.0,8,Thursday
D1,2022-08-11 00:00:00,Barback,22,2.0,2.0,2.0,8,Thursday
D1,2022-08-11 00:00:00,Barback,23,2.0,2.0,1.0,8,Thursday
D1,2022-08-11 00:00:00,Barback,24,2.0,2.0,2.0,8,Thursday
D1,2022-08-12 00:00:00,Barback,7,1.2,1.2,1.2,8,Friday
D1,2022-08-12 00:00:00,Barback,8,2.0,2.0,2.0,8,Friday
D1,2022-08-12 00:00:00,Barback,9,2.0,2.0,2.0,8,Friday
D1,2022-08-12 00:00:00,Barback,10,2.0,2.0,3.0,8,Friday
D1,2022-08-12 00:00:00,Barback,11,2.0,2.0,3.0,8,Friday
D1,2022-08-12 00:00:00,Barback,12,2.0,2.0,3.0,8,Friday
D1,2022-08-12 00:00:00,Barback,13,2.0,2.0,4.0,8,Friday
D1,2022-08-12 00:00:00,Barback,14,2.0,2.0,3.0,8,Friday
D1,2022-08-12 00:00:00,Barback,15,2.0,2.0,3.0,8,Friday
D1,2022-08-12 00:00:00,Barback,16,1.0,3.0,2.0,8,Friday
D1,2022-08-12 00:00:00,Barback,17,1.0,3.0,2.0,8,Friday
D1,2022-08-12 00:00:00,Barback,18,1.0,3.0,3.0,8,Friday
D1,2022-08-12 00:00:00,Barback,19,1.0,3.0,3.0,8,Friday
D1,2022-08-12 00:00:00,Barback,20,1.0,3.0,3.0,8,Friday
D1,2022-08-12 00:00:00,Barback,21,1.0,3.0,3.0,8,Friday
D1,2022-08-12 00:00:00,Barback,22,1.0,3.0,3.0,8,Friday
D1,2022-08-12 00:00:00,Barback,23,1.0,3.0,1.0,8,Friday
D1,2022-08-12 00:00:00,Barback,24,2.0,2.0,2.0,8,Friday
D1,2022-08-12 00:00:00,Barback,25,1.0,1.0,1.0,8,Friday
D1,2022-08-13 00:00:00,Barback,8,1.5,1.5,1.5,8,Saturday
D1,2022-08-13 00:00:00,Barback,9,2.0,3.0,1.0,8,Saturday
D1,2022-08-13 00:00:00,Barback,10,2.0,3.0,2.0,8,Saturday
D1,2022-08-13 00:00:00,Barback,11,2.0,3.0,2.0,8,Saturday
D1,2022-08-13 00:00:00,Barback,12,2.0,3.0,3.0,8,Saturday
D1,2022-08-13 00:00:00,Barback,13,2.0,3.0,3.0,8,Saturday
D1,2022-08-13 00:00:00,Barback,14,2.0,3.0,2.0,8,Saturday
D1,2022-08-13 00:00:00,Barback,15,2.0,3.0,2.0,8,Saturday
D1,2022-08-13 00:00:00,Barback,16,1.0,3.0,2.0,8,Saturday
D1,2022-08-13 00:00:00,Barback,17,1.0,3.0,3.0,8,Saturday
D1,2022-08-13 00:00:00,Barback,18,1.0,3.0,3.0,8,Saturday
D1,2022-08-13 00:00:00,Barback,19,1.0,3.0,3.0,8,Saturday
D1,2022-08-13 00:00:00,Barback,20,1.0,3.0,3.0,8,Saturday
D1,2022-08-13 00:00:00,Barback,21,1.0,3.0,3.0,8,Saturday
D1,2022-08-13 00:00:00,Barback,22,1.0,3.0,3.0,8,Saturday
D1,2022-08-13 00:00:00,Barback,23,1.0,3.0,2.0,8,Saturday
D1,2022-08-13 00:00:00,Barback,24,2.6,2.6,2.6,8,Saturday
D1,2022-08-13 00:00:00,Barback,25,1.0,1.0,1.0,8,Saturday
D1,2022-08-14 00:00:00,Barback,8,1.2,1.2,1.2,8,Sunday
D1,2022-08-14 00:00:00,Barback,9,3.0,3.0,1.0,8,Sunday
D1,2022-08-14 00:00:00,Barback,10,3.0,3.0,2.0,8,Sunday
D1,2022-08-14 00:00:00,Barback,11,3.0,3.0,2.0,8,Sunday
D1,2022-08-14 00:00:00,Barback,12,3.0,3.0,2.0,8,Sunday
D1,2022-08-14 00:00:00,Barback,13,3.0,3.0,2.0,8,Sunday
D1,2022-08-14 00:00:00,Barback,14,3.0,3.0,2.0,8,Sunday
D1,2022-08-14 00:00:00,Barback,15,3.0,3.0,2.0,8,Sunday
D1,2022-08-14 00:00:00,Barback,16,3.0,2.0,2.0,8,Sunday
D1,2022-08-14 00:00:00,Barback,17,2.0,2.0,3.0,8,Sunday
D1,2022-08-14 00:00:00,Barback,18,2.0,2.0,3.0,8,Sunday
D1,2022-08-14 00:00:00,Barback,19,2.0,2.0,3.0,8,Sunday
D1,2022-08-14 00:00:00,Barback,20,1.0,2.0,3.0,8,Sunday
D1,2022-08-14 00:00:00,Barback,21,1.0,2.0,3.0,8,Sunday
D1,2022-08-14 00:00:00,Barback,22,1.0,2.0,2.0,8,Sunday
D1,2022-08-14 00:00:00,Barback,23,1.0,2.0,1.0,8,Sunday
D1,2022-08-14 00:00:00,Barback,24,1.0,1.0,1.0,8,Sunday
D1,2022-08-15 00:00:00,Barback,7,1.0,1.0,1.0,8,Monday
D1,2022-08-15 00:00:00,Barback,8,2.0,1.0,1.0,8,Monday
D1,2022-08-15 00:00:00,Barback,9,2.0,1.0,1.0,8,Monday
D1,2022-08-15 00:00:00,Barback,10,2.0,1.0,2.0,8,Monday
D1,2022-08-15 00:00:00,Barback,11,1.0,1.0,2.0,8,Monday
D1,2022-08-15 00:00:00,Barback,12,3.0,1.0,1.0,8,Monday
D1,2022-08-15 00:00:00,Barback,13,3.0,1.0,2.0,8,Monday
D1,2022-08-15 00:00:00,Barback,14,3.0,1.0,2.0,8,Monday
D1,2022-08-15 00:00:00,Barback,15,2.0,1.0,2.0,8,Monday
D1,2022-08-15 00:00:00,Barback,16,1.0,2.0,2.0,8,Monday
D1,2022-08-15 00:00:00,Barback,17,2.0,2.0,2.0,8,Monday
D1,2022-08-15 00:00:00,Barback,18,2.0,2.0,3.0,8,Monday
D1,2022-08-15 00:00:00,Barback,19,2.0,2.0,3.0,8,Monday
D1,2022-08-15 00:00:00,Barback,20,2.0,2.0,3.0,8,Monday
D1,2022-08-15 00:00:00,Barback,21,2.0,2.0,2.0,8,Monday
D1,2022-08-15 00:00:00,Barback,22,2.0,2.0,2.0,8,Monday
D1,2022-08-15 00:00:00,Barback,23,2.0,2.0,1.0,8,Monday
D1,2022-08-15 00:00:00,Barback,24,1.3333333333333333,1.3333333333333333,1.3333333333333333,8,Monday
D1,2022-08-15 00:00:00,Barback,25,1.0,1.0,1.0,8,Monday
D1,2022-08-16 00:00:00,Barback,7,1.25,1.25,1.25,8,Tuesday
D1,2022-08-16 00:00:00,Barback,8,1.0,2.0,2.0,8,Tuesday
D1,2022-08-16 00:00:00,Barback,9,1.0,2.0,3.0,8,Tuesday
D1,2022-08-16 00:00:00,Barback,10,1.0,2.0,3.0,8,Tuesday
D1,2022-08-16 00:00:00,Barback,11,1.0,2.0,3.0,8,Tuesday
D1,2022-08-16 00:00:00,Barback,12,1.0,2.0,3.0,8,Tuesday
D1,2022-08-16 00:00:00,Barback,13,1.0,2.0,3.0,8,Tuesday
D1,2022-08-16 00:00:00,Barback,14,1.0,2.0,3.0,8,Tuesday
D1,2022-08-16 00:00:00,Barback,15,1.0,2.0,3.0,8,Tuesday
D1,2022-08-16 00:00:00,Barback,16,2.0,2.0,2.0,8,Tuesday
D1,2022-08-16 00:00:00,Barback,17,2.0,2.0,3.0,8,Tuesday
D1,2022-08-16 00:00:00,Barback,18,2.0,2.0,3.0,8,Tuesday
D1,2022-08-16 00:00:00,Barback,19,2.0,2.0,3.0,8,Tuesday
D1,2022-08-16 00:00:00,Barback,20,2.0,2.0,3.0,8,Tuesday
D1,2022-08-16 00:00:00,Barback,21,1.0,2.0,3.0,8,Tuesday
D1,2022-08-16 00:00:00,Barback,22,2.0,2.0,2.0,8,Tuesday
D1,2022-08-16 00:00:00,Barback,23,2.0,2.0,1.0,8,Tuesday
D1,2022-08-16 00:00:00,Barback,24,1.5,1.5,1.5,8,Tuesday
D1,2022-08-17 00:00:00,Barback,7,2.0,2.0,2.0,8,Wednesday
D1,2022-08-17 00:00:00,Barback,8,1.0,1.0,1.0,8,Wednesday
D1,2022-08-17 00:00:00,Barback,9,1.0,1.0,1.0,8,Wednesday
D1,2022-08-17 00:00:00,Barback,10,1.0,1.0,2.0,8,Wednesday
D1,2022-08-17 00:00:00,Barback,11,1.0,1.0,2.0,8,Wednesday
D1,2022-08-17 00:00:00,Barback,12,1.0,1.0,2.0,8,Wednesday
D1,2022-08-17 00:00:00,Barback,13,1.0,1.0,3.0,8,Wednesday
D1,2022-08-17 00:00:00,Barback,14,1.0,1.0,2.0,8,Wednesday
D1,2022-08-17 00:00:00,Barback,15,1.0,1.0,2.0,8,Wednesday
D1,2022-08-17 00:00:00,Barback,16,1.0,2.0,3.0,8,Wednesday
D1,2022-08-17 00:00:00,Barback,17,1.0,2.0,3.0,8,Wednesday
D1,2022-08-17 00:00:00,Barback,18,1.0,2.0,3.0,8,Wednesday
D1,2022-08-17 00:00:00,Barback,19,1.0,2.0,3.0,8,Wednesday
D1,2022-08-17 00:00:00,Barback,20,1.0,2.0,3.0,8,Wednesday
D1,2022-08-17 00:00:00,Barback,21,1.0,2.0,3.0,8,Wednesday
D1,2022-08-17 00:00:00,Barback,22,1.0,2.0,2.0,8,Wednesday
D1,2022-08-17 00:00:00,Barback,23,1.0,2.0,1.0,8,Wednesday
D1,2022-08-17 00:00:00,Barback,24,1.0,1.0,1.0,8,Wednesday
D1,2022-08-18 00:00:00,Barback,7,1.0,1.0,1.0,8,Thursday
D1,2022-08-18 00:00:00,Barback,8,1.0,1.0,1.0,8,Thursday
D1,2022-08-18 00:00:00,Barback,9,1.0,1.0,1.0,8,Thursday
D1,2022-08-18 00:00:00,Barback,10,1.0,1.0,2.0,8,Thursday
D1,2022-08-18 00:00:00,Barback,11,1.0,1.0,1.0,8,Thursday
D1,2022-08-18 00:00:00,Barback,12,1.0,1.0,2.0,8,Thursday
D1,2022-08-18 00:00:00,Barback,13,1.0,1.0,2.0,8,Thursday
D1,2022-08-18 00:00:00,Barback,14,1.0,1.0,2.0,8,Thursday
D1,2022-08-18 00:00:00,Barback,15,1.0,1.0,2.0,8,Thursday
D1,2022-08-18 00:00:00,Barback,16,2.0,2.0,2.0,8,Thursday
D1,2022-08-18 00:00:00,Barback,17,2.0,2.0,3.0,8,Thursday
D1,2022-08-18 00:00:00,Barback,18,2.0,2.0,3.0,8,Thursday
D1,2022-08-18 00:00:00,Barback,19,2.0,2.0,3.0,8,Thursday
D1,2022-08-18 00:00:00,Barback,20,2.0,2.0,3.0,8,Thursday
D1,2022-08-18 00:00:00,Barback,21,1.0,2.0,3.0,8,Thursday
D1,2022-08-18 00:00:00,Barback,22,2.0,2.0,3.0,8,Thursday
D1,2022-08-18 00:00:00,Barback,23,2.0,2.0,1.0,8,Thursday
D1,2022-08-18 00:00:00,Barback,24,2.0,2.0,2.0,8,Thursday
D1,2022-08-19 00:00:00,Barback,7,1.2,1.2,1.2,8,Friday
D1,2022-08-19 00:00:00,Barback,8,1.0,2.0,2.0,8,Friday
D1,2022-08-19 00:00:00,Barback,9,1.0,2.0,2.0,8,Friday
D1,2022-08-19 00:00:00,Barback,10,1.0,2.0,2.0,8,Friday
D1,2022-08-19 00:00:00,Barback,11,1.0,2.0,3.0,8,Friday
D1,2022-08-19 00:00:00,Barback,12,2.0,2.0,3.0,8,Friday
D1,2022-08-19 00:00:00,Barback,13,2.0,2.0,3.0,8,Friday
D1,2022-08-19 00:00:00,Barback,14,2.0,2.0,4.0,8,Friday
D1,2022-08-19 00:00:00,Barback,15,2.0,2.0,4.0,8,Friday
